time,technology,spatial,0
2,Solar,LV00,0.0
2,Solar,NL11,0.0
2,Solar,NL12,0.0
2,Solar,NL13,0.0
2,Solar,NL21,0.0
2,Solar,NL22,0.0
2,Solar,NL23,0.0
2,Solar,NL31,0.0
2,Solar,NL32,0.0
2,Solar,NL33,0.0
2,Solar,NL34,0.0
2,Solar,NL41,0.0
2,Solar,NL42,0.0
2,Solar,NO02,0.0
2,Solar,NO06,0.0
2,Solar,NO07,0.0
2,Solar,NO08,0.0
2,Solar,NO09,0.0
2,Solar,NO0A,0.0
2,Solar,PL21,0.0
2,Solar,PL22,0.0
2,Solar,PL41,0.0
2,Solar,PL42,0.0
2,Solar,PL43,0.0
2,Solar,PL51,0.0
2,Solar,PL52,0.0
2,Solar,PL61,0.0
2,Solar,PL62,0.0
2,Solar,PL63,0.0
2,Solar,PL71,0.0
2,Solar,PL72,0.0
2,Solar,PL81,0.0
2,Solar,PL82,0.0
2,Solar,PL84,0.0
2,Solar,PL91,0.0
2,Solar,PL92,0.0
2,Solar,PT11,0.0
2,Solar,PT15,0.0
2,Solar,PT16,0.0
2,Solar,PT17,0.0
2,Solar,PT18,0.0
2,Solar,RO11,0.0
2,Solar,RO12,0.0
2,Solar,RO21,0.0
2,Solar,RO22,0.0
2,Solar,RO31,0.0
2,Solar,RO32,0.0
2,Solar,RO41,0.0
2,Solar,RO42,0.0
2,Solar,SE11,0.0
2,Solar,SE12,0.0
2,Solar,SE21,0.0
2,Solar,SE22,0.0
2,Solar,SE23,0.0
2,Solar,SE31,0.0
2,Solar,SE32,0.0
2,Solar,SE33,0.0
2,Solar,SI03,0.0
2,Solar,SI04,0.0
2,Solar,SK01,0.0
2,Solar,SK02,0.0
2,Solar,SK03,0.0
2,Solar,SK04,0.0
2,Solar,UKC1,0.0
2,Solar,UKC2,0.0
2,Solar,UKD1,0.0
2,Solar,UKD3,0.0
2,Solar,UKD4,0.0
2,Solar,UKD6,0.0
2,Solar,UKD7,0.0
2,Solar,UKE1,0.0
2,Solar,UKE2,0.0
2,Solar,UKE3,0.0
2,Solar,UKE4,0.0
2,Solar,UKF1,0.0
2,Solar,UKF2,0.0
2,Solar,UKF3,0.0
2,Solar,UKG1,0.0
2,Solar,UKG2,0.0
2,Solar,UKG3,0.0
2,Solar,UKH1,0.0
